date,GD
2025-11,1217095.0
2025-10,1140562.0
2025-09,1103470.0
2025-08,1101549.0
2025-07,1146751.0
2025-06,1171492.0
2025-05,1105757.0
2025-04,1177555.0
2025-03,1114451.0
2025-02,1109826.0
2025-01,1175557.0
2024-12,1151318.0
2024-11,1054674.0
2024-10,1054525.0
2024-09,1037530.0
2024-08,1007145.0
2024-07,1045615.0
2024-06,1057820.0
2024-05,1011674.0
2024-04,1042349.0
2024-03,1017525.0
2024-02,1012839.0
2024-01,1102849.0
2023-12,1027560.0
2023-11,979082.0
2023-10,987792.0
2023-09,974957.0
2023-08,974241.0
2023-07,1009068.0
2023-06,1020434.0
2023-05,981120.0
2023-04,1020035.0
2023-03,1058796.0
2023-02,1026899.0
2023-01,1115309.0
2022-12,1092665.0
2022-11,1052608.0
2022-10,1043567.0
2022-09,1073370.0
2022-08,1071133.0
2022-07,1074707.0
2022-06,1089549.0
2022-05,1033715.0
2022-04,1132465.0
2022-03,1109205.0
2022-02,1140196.0
2022-01,1203108.0
2021-12,1204265.0
2021-11,1136431.0
2021-10,1146498.0
2021-09,1139452.0
2021-08,1172541.0
2021-07,1214090.0
2021-06,1226638.0
2021-05,1199631.0
2021-04,1225905.0
2021-03,1239196.0
2021-02,1221669.0
2021-01,1270094.0
2020-12,1280392.0
2020-11,1136432.0
2020-10,1237563.0
2020-09,1210292.0
2020-08,1180767.0
2020-07,1185724.0
2020-06,1157728.0
2020-05,1129350.0
2020-04,1148279.0
2020-03,1118482.0
2020-02,1055288.0
2020-01,1091794.0
2019-12,1112796.0
2019-11,1050628.0
2019-10,1034811.0
2019-09,1071136.0
2019-08,1072931.0
2019-07,1073905.0
2019-06,1110506.0
2019-05,1077833.0
2019-04,1141014.0
2019-03,1144922.0
2019-02,1224427.0
2019-01,1204948.0
2018-12,1262099.0
2018-11,1210010.0
2018-10,1200038.0
2018-09,1206456.0
2018-08,1203315.0
2018-07,1195597.0
2018-06,1231098.0
2018-05,1231179.0
2018-04,1228663.0
2018-03,1223914.0
2018-02,1241586.0
2018-01,1250094.0
2017-12,1327927.0
2017-11,1274296.0
2017-10,1295685.0
2017-09,1240186.0
2017-08,1241906.0
2017-07,1329531.0
2017-06,1310265.0
2017-05,1306896.0
2017-04,1307489.0
2017-03,1332430.0
2017-02,1329201.0
2017-01,1326107.0
2016-12,1347266.0
2016-11,1335824.0
2016-10,1352195.0
2016-09,1292183.0
2016-08,1365630.0
2016-07,1310910.0
2016-06,1362800.0
2016-05,1316867.0
2016-04,1305317.0
2016-03,1321275.0
2016-02,1346804.0
2016-01,1386421.0
2015-12,1403436.0
2015-11,1322997.0
2015-10,1344114.0
2015-09,1354639.0
2015-08,1365657.0
2015-07,1381504.0
2015-06,1383070.0
2015-05,1363699.0
2015-04,1375000.0
2015-03,1381107.0
2015-02,1366246.0
2015-01,1395548.0
2014-12,1394341.0
2014-11,1290687.0
2014-10,1302555.0
2014-09,1284496.0
2014-08,1261444.0
2014-07,1257597.0
2014-06,1254670.0
2014-05,1225323.0
2014-04,1224817.0
2014-03,1246569.0
2014-02,1247402.0
2014-01,1293220.0
2013-12,1277134.0
2013-11,1217492.0
2013-10,1203781.0
2013-09,1199939.0
2013-08,1202643.0
2013-07,1195052.0
2013-06,1196815.0
2013-05,1204800.0
2013-04,1206050.0
2013-03,1204121.0
2013-02,1215594.0
2013-01,1240381.0
2012-12,1146165.0
2012-11,1059920.0
2012-10,1062890.0
2012-09,1071757.0
2012-08,1065140.0
2012-07,1064902.0
2012-06,1081784.0
2012-05,1076677.0
2012-04,1070930.0
2012-03,1064305.0
2012-02,1097859.0
2012-01,1128503.0
2011-12,1150767.0
2011-11,1082213.0
2011-10,1047758.0
2011-09,1062521.0
2011-08,1101295.0
2011-07,1065476.0
2011-06,1090764.0
2011-05,1085329.0
2011-04,1054901.0
2011-03,1088291.0
2011-02,1087879.0
2011-01,1134303.0
2010-12,1179347.0
2010-11,1105275.0
2010-10,1106814.0
2010-09,1086121.0
2010-08,1095003.0
2010-07,1090356.0
2010-06,1144709.0
2010-05,1143054.0
2010-04,1137294.0
2010-03,1153238.0
2010-02,1141051.0
2010-01,1189242.0
2009-12,1189265.0
2009-11,1090434.0
2009-10,1132213.0
2009-09,1111913.0
2009-08,1068745.0
2009-07,1058762.0
2009-06,1077023.0
2009-05,1031338.0
2009-04,1054731.0
2009-03,1020951.0
2009-02,1029657.0
2009-01,1070402.0
2008-12,1120259.0
2008-11,1131558.0
2008-10,1158455.0
2008-09,1114551.0
2008-08,1024983.0
2008-07,1051755.0
2008-06,1016254.0
2008-05,1036086.0
2008-04,1067045.0
2008-03,1082132.0
2008-02,1104063.0
2008-01,1156290.0
2007-12,1167996.0
2007-11,1119162.0
2007-10,1108024.0
2007-09,1135072.0
2007-08,1164825.0
2007-07,1158936.0
2007-06,1161537.0
2007-05,1187300.0
2007-04,1190966.0
2007-03,1203079.0
2007-02,1233073.0
2007-01,1252622.0
2006-12,1274156.0
2006-11,1233985.0
2006-10,1221975.0
2006-09,1213558.0
2006-08,1233902.0
2006-07,1220018.0
2006-06,1236096.0
2006-05,1237137.0
2006-04,1247480.0
2006-03,1265616.0
2006-02,1297899.0
2006-01,1310656.0
2005-12,1315447.0
2005-11,1319055.0
2005-10,1283688.0
2005-09,1272894.0
2005-08,1266393.0
2005-07,1258324.0
2005-06,1255227.0
2005-05,1260159.0
2005-04,1268121.0
2005-03,1274891.0
2005-02,1283691.0
2005-01,1302557.0
2004-12,1271248.0
2004-11,1260743.0
2004-10,1258693.0
2004-09,1253139.0
2004-08,1247342.0
2004-07,1237686.0
2004-06,1238344.0
2004-05,1232784.0
2004-04,1256464.0
2004-03,1258478.0
2004-02,1265727.0
2004-01,1272852.0
2003-12,1238302.0
2003-11,1238547.0
2003-10,1217275.0
2003-09,1199661.0
2003-08,1229731.0
2003-07,1204580.0
2003-06,1202853.0
2003-05,1209804.0
2003-04,1217230.0
2003-03,1220836.0
2003-02,1213637.0
2003-01,1251075.0
2002-12,1203595.0
2002-11,1195485.0
2002-10,1205433.0
2002-09,1192877.0
2002-08,1193379.0
2002-07,1187641.0
2002-06,1136694.0
2002-05,1166057.0
2002-04,1191173.0
2002-03,1182248.0
2002-02,1188001.0
2002-01,1226576.0
2001-12,1215964.0
2001-11,1201259.0
2001-10,1160221.0
2001-09,1172612.0
2001-08,1187009.0
2001-07,1174072.0
2001-06,1179946.0
2001-05,1208273.0
2001-04,1203999.0
2001-03,1205453.0
2001-02,1201409.0
2001-01,1236097.0
2000-12,1294832.0
2000-11,1297048.0
2000-10,1242695.0
2000-09,1231340.0
2000-08,1237448.0
2000-07,1233295.0
2000-06,1246382.0
2000-05,1315003.0
2000-04,1311707.0
2000-03,1314046.0
2000-02,1333183.0
2000-01,1356214.0
1999-12,1373324.0
1999-11,1370332.0
1999-10,1374542.0
1999-09,1373809.0
1999-08,1388987.0
1999-07,1392540.0
1999-06,1396488.0
1999-05,1411598.0
1999-04,1401102.0
1999-03,1413671.0
1999-02,1434499.0
1999-01,1435685.0
1998-12,1473285.0
1998-11,1448236.0
1998-10,1448793.0
1998-09,1431918.0
1998-08,1429256.0
1998-07,1416083.0
1998-06,1403700.0
1998-05,1410563.0
1998-04,1412746.0
1998-03,1417942.0
1998-02,1420089.0
1998-01,1445355.0
1997-12,1440940.0
1997-11,1443004.0
1997-10,1427710.0
1997-09,1413726.0
1997-08,1427043.0
1997-07,1433110.0
1997-06,1431774.0
1997-05,1431206.0
1997-04,1430564.0
1997-03,1412968.0
1997-02,1408913.0
1997-01,1425058.0
1996-12,1418274.0
1996-11,1401571.0
1996-10,1403207.0
1996-09,1399128.0
1996-08,1406789.0
1996-07,1403419.0
1996-06,1379520.0
1996-05,1376680.0
1996-04,1369649.0
1996-03,1377894.0
1996-02,1387576.0
1996-01,1411036.0
1995-12,1386165.0
1995-11,1369600.0
1995-10,1359785.0
1995-09,1374829.0
1995-08,1368965.0
1995-07,1366089.0
1995-06,1370401.0
1995-05,1355461.0
1995-04,1348498.0
1995-03,1345928.0
1995-02,1313992.0
1995-01,1326137.0
1994-12,1286596.0
1994-11,1270228.0
1994-10,1232415.0
1994-09,1235317.0
1994-08,1215295.0
1994-07,1206666.0
1994-06,1178643.0
1994-05,1163790.0
1994-04,1150561.0
1994-03,1161886.0
1994-02,1147421.0
1994-01,1150433.0
1993-12,1132267.0
1993-11,1086300.0
1993-10,1051326.0
1993-09,1042354.0
1993-08,998872.0
1993-07,1003711.0
1993-06,960611.0
1993-05,953435.0
1993-04,953582.0
1993-03,964926.0
1993-02,952534.0
1993-01,939226.0
1992-12,880802.0
1992-11,845587.0
1992-10,784253.0
1992-09,763337.0
1992-08,728832.0
1992-07,729151.0
1992-06,710982.0
1992-05,709191.0
1992-04,705794.0
1992-03,706913.0
1992-02,692118.0
1992-01,704057.0
1991-12,692958.0
1991-11,664671.0
1991-10,651506.0
1991-09,646795.0
1991-08,622333.0
1991-07,628482.0
1991-06,626698.0
1991-05,622989.0
1991-04,635330.0
1991-03,642076.0
1991-02,622410.0
1991-01,617229.0
1990-12,618570.0
1990-11,604787.0
1990-10,606449.0
1990-09,588593.0
1990-08,572961.0
1990-07,581974.0
1990-06,582456.0
1990-05,581902.0
1990-04,594798.0
1990-03,602709.0
1990-02,599144.0
1990-01,595507.0
1989-12,600047.0
1989-11,593360.0
1989-10,588986.0
1989-09,587036.0
1989-08,578922.0
1989-07,586031.0
1989-06,589712.0
1989-05,585281.0
1989-04,605880.0
1989-03,611325.0
1989-02,611072.0
1989-01,605657.0
1988-12,609940.0
1988-11,603361.0
1988-10,596515.0
1988-09,597002.0
1988-08,586550.0
1988-07,593948.0
1988-06,597621.0
1988-05,597708.0
1988-04,625335.0
1988-03,630619.0
1988-02,630754.0
1988-01,623452.0
1987-12,622272.0
1987-11,614275.0
1987-10,612054.0
1987-09,609161.0
1987-08,601915.0
1987-07,610253.0
1987-06,609248.0
1987-05,616026.0
1987-04,637344.0
1987-03,637851.0
1987-02,635012.0
1987-01,627309.0
1986-12,630784.0
1986-11,614841.0
1986-10,607698.0
1986-09,602758.0
1986-08,592354.0
1986-07,597752.0
1986-06,596015.0
1986-05,597546.0
1986-04,607058.0
1986-03,609082.0
1986-02,602404.0
1986-01,599834.0
1985-12,595695.0
1985-11,576743.0
1985-10,571127.0
1985-09,562445.0
1985-08,560111.0
1985-07,560680.0
1985-06,559459.0
1985-05,548502.0
1985-04,564668.0
1985-03,558122.0
1985-02,547751.0
1985-01,537200.0
1984-12,534622.0
1984-11,519476.0
1984-10,508150.0
1984-09,492511.0
1984-08,489096.0
1984-07,488824.0
1984-06,482636.0
1984-05,477682.0
1984-04,492177.0
1984-03,485631.0
1984-02,475820.0
1984-01,469078.0
1983-12,460196.0
1983-11,451756.0
1983-10,442659.0
1983-09,424502.0
1983-08,417133.0
1983-07,415056.0
1983-06,407325.0
1983-05,402179.0
1983-04,406643.0
1983-03,399831.0
1983-02,388504.0
1983-01,385854.0
1982-12,377089.0
1982-11,358490.0
1982-10,353962.0
1982-09,335991.0
1982-08,331086.0
1982-07,329226.0
1982-06,319686.0
1982-05,309542.0
1982-04,321256.0
1982-03,311661.0
1982-02,303309.0
1982-01,301779.0
1981-12,295590.0
1981-11,280660.0
1981-10,276309.0
1981-09,265677.0
1981-08,260766.0
1981-07,260688.0
1981-06,252968.0
1981-05,253651.0
1981-04,249197.0
1981-03,249763.0
1981-02,236876.0
1981-01,243213.0
1980-12,229589.0
1980-11,223534.0
1980-10,215689.0
1980-09,211151.0
1980-08,202251.0
1980-07,207477.0
1980-06,192088.0
1980-05,192378.0
1980-04,192591.0
1980-03,193014.0
1980-02,181804.0
1980-01,186379.0
1979-12,175145.0
1979-11,170119.0
1979-10,160927.0
1979-09,159084.0
1979-08,149546.0
1979-07,153180.0
1979-06,139085.0
1979-05,140296.0
1979-04,142497.0
1979-03,142603.0
1979-02,134822.0
1979-01,138667.0
1978-12,131175.0
1978-11,127985.0
1978-10,116722.0
1978-09,117253.0
1978-08,111268.0
1978-07,115188.0
1978-06,105239.0
1978-05,104274.0
1978-04,107214.0
1978-03,107348.0
1978-02,98702.0
1978-01,103277.0
1977-12,97982.0
1977-11,96144.0
1977-10,88791.0
1977-09,88272.0
1977-08,86079.0
1977-07,87932.0
1977-06,82340.0
1977-05,80000.0
1977-04,85886.0
1977-03,85677.0
1977-02,79331.0
1977-01,83282.0
1976-12,80411.0
1976-11,78303.0
1976-10,74300.0
1976-09,72231.0
1976-08,69361.0
1976-07,72716.0
1976-06,68760.0
1976-05,69117.0
1976-04,73824.0
1976-03,74120.0
1976-02,71075.0
1976-01,75192.0
1975-12,73467.0
1975-11,70358.0
1975-10,68355.0
1975-09,67645.0
1975-08,65704.0
1975-07,67302.0
1975-06,63680.0
1975-05,63071.0
1975-04,65019.0
1975-03,64786.0
1975-02,61801.0
1975-01,64075.0
1974-12,62014.0
1974-11,60085.0
1974-10,57226.0
1974-09,56444.0
1974-08,54726.0
1974-07,55269.0
1974-06,52675.0
1974-05,51385.0
1974-04,53488.0
1974-03,52491.0
1974-02,50655.0
1974-01,52761.0
1973-12,51287.0
1973-11,48915.0
1973-10,46523.0
1973-09,45501.0
1973-08,44775.0
1973-07,45994.0
1973-06,43211.0
1973-05,42949.0
1973-04,45425.0
1973-03,44295.0
1973-02,44278.0
1973-01,45869.0
1972-12,45136.0
1972-11,42623.0
1972-10,40380.0
1972-09,39053.0
1972-08,38467.0
1972-07,39050.0
1972-06,37209.0
1972-05,36537.0
1972-04,39223.0
1972-03,38195.0
1972-02,38156.0
1972-01,39546.0
1971-12,38786.0
1971-11,37275.0
1971-10,36245.0
1971-09,34967.0
1971-08,34681.0
1971-07,35289.0
1971-06,33402.0
1971-05,33048.0
1971-04,35401.0
1971-03,34579.0
1971-02,35142.0
1971-01,36344.0
1970-12,36155.0
1970-11,32548.0
1970-10,33207.0
1970-09,31461.0
1970-08,31512.0
1970-07,31508.0
1970-06,30960.0
1970-05,29460.0
1970-04,32593.0
1970-03,31154.0
1970-02,32697.0
1970-01,32862.0
