date,Pop
2025-10,10610485.0
2025-09,10609460.0
2025-08,10605098.0
2025-07,10596652.0
2025-06,10592686.0
2025-05,10591058.0
2025-04,10588818.0
2025-03,10587696.0
2025-02,10587970.0
2025-01,10588020.0
2024-12,10587710.0
2024-11,10588230.0
2024-10,10587276.0
2024-09,10582576.0
2024-08,10576145.0
2024-07,10564484.0
2024-06,10553341.0
2024-05,10548877.0
2024-04,10548461.0
2024-03,10548822.0
2024-02,10549287.0
2024-01,10550054.0
2023-12,10551707.0
2023-11,10555448.0
2023-10,10558012.0
2023-09,10557822.0
2023-08,10554692.0
2023-07,10548336.0
2023-06,10545310.0
2023-05,10540886.0
2023-04,10538026.0
2023-03,10533267.0
2023-02,10528561.0
2023-01,10523709.0
2022-12,10521556.0
2022-11,10520558.0
2022-10,10514692.0
2022-09,10508669.0
2022-08,10502959.0
2022-07,10493565.0
2022-06,10487859.0
2022-05,10481937.0
2022-04,10475203.0
2022-03,10468482.0
2022-02,10462498.0
2022-01,10457147.0
2021-12,10452326.0
2021-11,10449381.0
2021-10,10443153.0
2021-09,10435447.0
2021-08,10427296.0
2021-07,10416585.0
2021-06,10409248.0
2021-05,10402070.0
2021-04,10395160.0
2021-03,10389806.0
2021-02,10385347.0
2021-01,10380491.0
2020-12,10379295.0
2020-11,10380245.0
2020-10,10377781.0
2020-09,10373225.0
2020-08,10367232.0
2020-07,10358538.0
2020-06,10352390.0
2020-05,10348730.0
2020-04,10345449.0
2020-03,10343403.0
2020-02,10338368.0
2020-01,10333456.0
2019-12,10327589.0
2019-11,10323857.0
2019-10,10319601.0
2019-09,10313447.0
2019-08,10302984.0
2019-07,10290832.0
2019-06,10281189.0
2019-05,10272518.0
2019-04,10263568.0
2019-03,10255102.0
2019-02,10246901.0
2019-01,10238627.0
2018-12,10230185.0
2018-11,10223505.0
2018-10,10215250.0
2018-09,10207086.0
2018-08,10196177.0
2018-07,10182291.0
2018-06,10171524.0
2018-05,10161797.0
2018-04,10151588.0
2018-03,10142686.0
2018-02,10135303.0
2018-01,10128320.0
2017-12,10120242.0
2017-11,10112669.0
2017-10,10103843.0
2017-09,10093734.0
2017-08,10081396.0
2017-07,10065389.0
2017-06,10053061.0
2017-05,10042928.0
2017-04,10032357.0
2017-03,10023893.0
2017-02,10014873.0
2017-01,10005673.0
2016-12,9995153.0
2016-11,9981799.0
2016-10,9967274.0
2016-09,9954420.0
2016-08,9938648.0
2016-07,9920881.0
2016-06,9906331.0
2016-05,9894888.0
2016-04,9884285.0
2016-03,9875378.0
2016-02,9866670.0
2016-01,9858794.0
2015-12,9851017.0
2015-11,9845155.0
2015-10,9838480.0
2015-09,9828655.0
2015-08,9816666.0
2015-07,9804082.0
2015-06,9793172.0
2015-05,9784445.0
2015-04,9775572.0
2015-03,9767357.0
2015-02,9760142.0
2015-01,9753627.0
2014-12,9747355.0
2014-11,9743087.0
2014-10,9737521.0
2014-09,9728498.0
2014-08,9716962.0
2014-07,9705005.0
2014-06,9694194.0
2014-05,9684858.0
2014-04,9675885.0
2014-03,9666871.0
2014-02,9658301.0
2014-01,9651531.0
2013-12,9644864.0
2013-11,9639741.0
2013-10,9633490.0
2013-09,9625444.0
2013-08,9616429.0
2013-07,9606522.0
2013-06,9596436.0
2013-05,9588569.0
2013-04,9580424.0
2013-03,9573466.0
2013-02,9566945.0
2013-01,9561254.0
2012-12,9555893.0
2012-11,9551781.0
2012-10,9546217.0
2012-09,9540065.0
2012-08,9532634.0
2012-07,9522998.0
2012-06,9514406.0
2012-05,9507324.0
2012-04,9500478.0
2012-03,9495113.0
2012-02,9490683.0
2012-01,9486591.0
2011-12,9482855.0
2011-11,9480205.0
2011-10,9475954.0
2011-09,9471174.0
2011-08,9464486.0
2011-07,9455134.0
2011-06,9446812.0
2011-05,9440588.0
2011-04,9433875.0
2011-03,9428054.0
2011-02,9422661.0
2011-01,9418732.0
2010-12,9415570.0
2010-11,9412851.0
2010-10,9408028.0
2010-09,9401925.0
2010-08,9393648.0
2010-07,9380437.0
2010-06,9373379.0
2010-05,9366092.0
2010-04,9359742.0
2010-03,9354462.0
2010-02,9349059.0
2010-01,9345135.0
2009-12,9340682.0
2009-11,9336487.0
2009-10,9331523.0
2009-09,9325429.0
2009-08,9316256.0
2009-07,9302133.0
2009-06,9292359.0
2009-05,9283722.0
2009-04,9276509.0
2009-03,9269986.0
2009-02,9263872.0
2009-01,9259828.0
2008-12,9256347.0
2008-11,9253675.0
2008-10,9248805.0
2008-09,9242595.0
2008-08,9234209.0
2008-07,9223766.0
2008-06,9215021.0
2008-05,9208034.0
2008-04,9201650.0
2008-03,9196227.0
2008-02,9192088.0
2008-01,9187630.0
2007-12,9182927.0
2007-11,9179731.0
2007-10,9174082.0
2007-09,9166827.0
2007-08,9160182.0
2007-07,9150508.0
2007-06,9142817.0
2007-05,9136889.0
2007-04,9131425.0
2007-03,9127058.0
2007-02,9122269.0
2007-01,9117712.0
2006-12,9113257.0
2006-11,9110972.0
2006-10,9107648.0
2006-09,9103551.0
2006-08,9097948.0
2006-07,9090113.0
2006-06,9082995.0
2006-05,9077628.0
2006-04,9072269.0
2006-03,9067049.0
2006-02,9060430.0
2006-01,9053340.0
2005-12,9047752.0
2005-11,9044789.0
2005-10,9042568.0
2005-09,9039143.0
2005-08,9034837.0
2005-07,9029002.0
2005-06,9024186.0
2005-05,9020925.0
2005-04,9017324.0
2005-03,9014921.0
2005-02,9014160.0
2005-01,9013109.0
2004-12,9011392.0
2004-11,9010591.0
2004-10,9008846.0
2004-09,9006405.0
2004-08,9002529.0
2004-07,8997335.0
2004-06,8992217.0
2004-05,8988186.0
2004-04,8985119.0
2004-03,8982226.0
2004-02,8979535.0
2004-01,8977418.0
2003-12,8975670.0
2003-11,8975199.0
2003-10,8973491.0
2003-09,8970956.0
2003-08,8966898.0
2003-07,8962106.0
2003-06,8956664.0
2003-05,8952605.0
2003-04,8949379.0
2003-03,8946304.0
2003-02,8943892.0
2003-01,8941960.0
2002-12,8940788.0
2002-11,8940369.0
2002-10,8939262.0
2002-09,8937119.0
2002-08,8933745.0
2002-07,8929219.0
2002-06,8924529.0
2002-05,8920705.0
2002-04,8917039.0
2002-03,8914336.0
2002-02,8912927.0
2002-01,8910910.0
2001-12,8909128.0
2001-11,8909157.0
2001-10,8908054.0
2001-09,8905622.0
2001-08,8902838.0
2001-07,8898554.0
2001-06,8894674.0
2001-05,8891640.0
2001-04,8888952.0
2001-03,8887136.0
2001-02,8885452.0
2001-01,8884193.0
2000-12,8882792.0
2000-11,8882007.0
2000-10,8880532.0
2000-09,8878828.0
2000-08,8876611.0
2000-07,8873307.0
2000-06,8869255.0
2000-05,8865918.0
2000-04,8863675.0
2000-03,8862037.0
2000-02,8860547.0
2000-01,8860180.0
