date,elanvandning
2025M10,13459.0
2025M09,11928.0
2025M08,12380.0
2025M07,12351.0
2025M06,11899.0
2025M05,13009.0
2025M04,14385.0
2025M03,16658.0
2025M02,16194.0
2025M01,17691.0
2024M12,17266.0
2024M11,15838.0
2024M10,14227.0
2024M09,12321.0
2024M08,13057.0
2024M07,11972.0
2024M06,11926.0
2024M05,13306.0
2024M04,14245.0
2024M03,16403.0
2024M02,16432.0
2024M01,18287.0
2023M12,17417.0
2023M11,16363.0
2023M10,14710.0
2023M09,11617.0
2023M08,12414.0
2023M07,11750.0
2023M06,11420.0
2023M05,12661.0
2023M04,13733.0
2023M03,16197.0
2023M02,15626.0
2023M01,16569.0
2022M12,16540.0
2022M11,14995.0
2022M10,13958.0
2022M09,12417.0
2022M08,13563.0
2022M07,13506.0
2022M06,12789.0
2022M05,13544.0
2022M04,14434.0
2022M03,16595.0
2022M02,15906.0
2022M01,17789.0
2021M12,18298.0
2021M11,16175.0
2021M10,14514.0
2021M09,12499.0
2021M08,12084.0
2021M07,12184.0
2021M06,11589.0
2021M05,13520.0
2021M04,15253.0
2021M03,16563.0
2021M02,16725.0
2021M01,17930.0
2020M12,16544.0
2020M11,14345.0
2020M10,14431.0
2020M09,12457.0
2020M08,12030.0
2020M07,12299.0
2020M06,11514.0
2020M05,13109.0
2020M04,14382.0
2020M03,17092.0
2020M02,16252.0
2020M01,17086.0
2019M12,16620.0
2019M11,15711.0
2019M10,14660.0
2019M09,12365.0
2019M08,12121.0
2019M07,12663.0
2019M06,13099.0
2019M05,13090.0
2019M04,13930.0
2019M03,16437.0
2019M02,15512.0
2019M01,17761.0
2018M12,16907.0
2018M11,15280.0
2018M10,14074.0
2018M09,11750.0
2018M08,11487.0
2018M07,11136.0
2018M06,12085.0
2018M05,13264.0
2018M04,13657.0
2018M03,17046.0
2018M02,16493.0
2018M01,17520.0
2017M12,16887.0
2017M11,15607.0
2017M10,13989.0
2017M09,12004.0
2017M08,12295.0
2017M07,12292.0
2017M06,11992.0
2017M05,13325.0
2017M04,14363.0
2017M03,15853.0
2017M02,15383.0
2017M01,17248.0
2016M12,15831.0
2016M11,14337.0
2016M10,13163.0
2016M09,11931.0
2016M08,11526.0
2016M07,11025.0
2016M06,10973.0
2016M05,12832.0
2016M04,13900.0
2016M03,16013.0
2016M02,16196.0
2016M01,18076.0
2015M12,15485.0
2015M11,14615.0
2015M10,14609.0
2015M09,12196.0
2015M08,12854.0
2015M07,12339.0
2015M06,12337.0
2015M05,13046.0
2015M04,13612.0
2015M03,15397.0
2015M02,14925.0
2015M01,16400.0
2014M12,16120.0
2014M11,14512.0
2014M10,13419.0
2014M09,11552.0
2014M08,11557.0
2014M07,11713.0
2014M06,11359.0
2014M05,12123.0
2014M04,13832.0
2014M03,16087.0
2014M02,15342.0
2014M01,17427.0
2013M12,15551.0
2013M11,14230.0
2013M10,12831.0
2013M09,11438.0
2013M08,11461.0
2013M07,11421.0
2013M06,10845.0
2013M05,11960.0
2013M04,13678.0
2013M03,16353.0
2013M02,15372.0
2013M01,17282.0
2012M12,17107.0
2012M11,15015.0
2012M10,14777.0
2012M09,12838.0
2012M08,12929.0
2012M07,12320.0
2012M06,12364.0
2012M05,13530.0
2012M04,14659.0
2012M03,15480.0
2012M02,15927.0
2012M01,16782.0
2011M12,15613.0
2011M11,13417.0
2011M10,13056.0
2011M09,12390.0
2011M08,11973.0
2011M07,11496.0
2011M06,11036.0
2011M05,11452.0
2011M04,12397.0
2011M03,14989.0
2011M02,15159.0
2011M01,16398.0
2010M12,16758.0
2010M11,14535.0
2010M10,12515.0
2010M09,10717.0
2010M08,11178.0
2010M07,11095.0
2010M06,12004.0
2010M05,13184.0
2010M04,12492.0
2010M03,14558.0
2010M02,14476.0
2010M01,16495.0
2009M12,14866.0
2009M11,12601.0
2009M10,12527.0
2009M09,10465.0
2009M08,10369.0
2009M07,9671.0
2009M06,10330.0
2009M05,11231.0
2009M04,11417.0
2009M03,13846.0
2009M02,14416.0
2009M01,15692.0
2008M12,14167.0
2008M11,13453.0
2008M10,12518.0
2008M09,11604.0
2008M08,10552.0
2008M07,10843.0
2008M06,10998.0
2008M05,12902.0
2008M04,13969.0
2008M03,15954.0
2008M02,15299.0
2008M01,16515.0
2007M12,15134.0
2007M11,14215.0
2007M10,13059.0
2007M09,11448.0
2007M08,11635.0
2007M07,11218.0
2007M06,11395.0
2007M05,13291.0
2007M04,13692.0
2007M03,15014.0
2007M02,14807.0
2007M01,16231.0
2006M12,15008.0
2006M11,14172.0
2006M10,12887.0
2006M09,10414.0
2006M08,10114.0
2006M07,10104.0
2006M06,10646.0
2006M05,12850.0
2006M04,13461.0
2006M03,16167.0
2006M02,15226.0
2006M01,17065.0
2005M12,16538.0
2005M11,14997.0
2005M10,13974.0
2005M09,12706.0
2005M08,12310.0
2005M07,11688.0
2005M06,11781.0
2005M05,12791.0
2005M04,13229.0
2005M03,15496.0
2005M02,15479.0
2005M01,16609.0
2004M12,16282.0
2004M11,15257.0
2004M10,14318.0
2004M09,11939.0
2004M08,11174.0
2004M07,11818.0
2004M06,10654.0
2004M05,12398.0
2004M04,13363.0
2004M03,15265.0
2004M02,14986.0
2004M01,16676.0
2003M12,15467.0
2003M11,14139.0
2003M10,13545.0
2003M09,10795.0
2003M08,10484.0
2003M07,10072.0
2003M06,10246.0
2003M05,12086.0
2003M04,13626.0
2003M03,14993.0
2003M02,14787.0
2003M01,16589.0
2002M12,16030.0
2002M11,14752.0
2002M10,13933.0
2002M09,11407.0
2002M08,11528.0
2002M07,11804.0
2002M06,11107.0
2002M05,12777.0
2002M04,13711.0
2002M03,15602.0
2002M02,14629.0
2002M01,16822.0
2001M12,16565.0
2001M11,15288.0
2001M10,14334.0
2001M09,13696.0
2001M08,12056.0
2001M07,10933.0
2001M06,10949.0
2001M05,12821.0
2001M04,13816.0
2001M03,16232.0
2001M02,15550.0
2001M01,16669.0
2000M12,15531.0
2000M11,14321.0
2000M10,13413.0
2000M09,12551.0
2000M08,12273.0
2000M07,11151.0
2000M06,10923.0
2000M05,11984.0
2000M04,12597.0
2000M03,15138.0
2000M02,14818.0
2000M01,15503.0
1999M12,15873.0
1999M11,14041.0
1999M10,13400.0
1999M09,10997.0
1999M08,10953.0
1999M07,10477.0
1999M06,11040.0
1999M05,12841.0
1999M04,13232.0
1999M03,15485.0
1999M02,14520.0
1999M01,16023.0
1998M12,15702.0
1998M11,15392.0
1998M10,13771.0
1998M09,12046.0
1998M08,11695.0
1998M07,10914.0
1998M06,11127.0
1998M05,12698.0
1998M04,13434.0
1998M03,14909.0
1998M02,13621.0
1998M01,15027.0
1997M12,14753.0
1997M11,13897.0
1997M10,13405.0
1997M09,9972.0
1997M08,10290.0
1997M07,9959.0
1997M06,10767.0
1997M05,12381.0
1997M04,13462.0
1997M03,14634.0
1997M02,14260.0
1997M01,16121.0
1996M12,15900.0
1996M11,13577.0
1996M10,12665.0
1996M09,11515.0
1996M08,10077.0
1996M07,9808.0
1996M06,10068.0
1996M05,11027.0
1996M04,11879.0
1996M03,14257.0
1996M02,15275.0
1996M01,15845.0
1995M12,16197.0
1995M11,14555.0
1995M10,12118.0
1995M09,10954.0
1995M08,10431.0
1995M07,9815.0
1995M06,10803.0
1995M05,12270.0
1995M04,12366.0
1995M03,13856.0
1995M02,12957.0
1995M01,14627.0
1994M12,13622.0
1994M11,12893.0
1994M10,12205.0
1994M09,10360.0
1994M08,9545.0
1994M07,8733.0
1994M06,9822.0
1994M05,11623.0
1994M04,12061.0
1994M03,14199.0
1994M02,14525.0
1994M01,14273.0
1993M12,14495.0
1993M11,13753.0
1993M10,12472.0
1993M09,11549.0
1993M08,11457.0
1993M07,9790.0
1993M06,10879.0
1993M05,11081.0
1993M04,12177.0
1993M03,14003.0
1993M02,13099.0
1993M01,14288.0
1992M12,13653.0
1992M11,13311.0
1992M10,13333.0
1992M09,11272.0
1992M08,10956.0
1992M07,9123.0
1992M06,9935.0
1992M05,11402.0
1992M04,13561.0
1992M03,14828.0
1992M02,14224.0
1992M01,14834.0
1991M12,14486.0
1991M11,13634.0
1991M10,12545.0
1991M09,10235.0
1991M08,9640.0
1991M07,9648.0
1991M06,10090.0
1991M05,11057.0
1991M04,12385.0
1991M03,14534.0
1991M02,14799.0
1991M01,15755.0
1990M12,14945.0
1990M11,14819.0
1990M10,14095.0
1990M09,12219.0
1990M08,10986.0
1990M07,9590.0
1990M06,10312.0
1990M05,11845.0
1990M04,12803.0
1990M03,14548.0
1990M02,13211.0
1990M01,15249.0
